UML Type,UID Business Object,Business Object,UID Feature,Feature,Description,UID Data Type,Data Type,UID Owner,Owner Element,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,a08d4486-0c68-e911-8237-06dd5e24f7bc,InvoiceDueDate,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,70a62a90-0c68-e911-8237-06dd5e24f7bc,InvoicePeriod,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,76722b23-0e68-e911-8237-06dd5e24f7bc,InvoiceAssignedDocument,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,9d05149c-0f68-e911-8237-06dd5e24f7bc,InvoiceTotalAmount,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,79c8fd40-2168-e911-8237-06dd5e24f7bc,InvoiceTaxAmount,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,da521657-2168-e911-8237-06dd5e24f7bc,InvoicePrepaidAmount,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,e65d7ea3-2168-e911-8237-06dd5e24f7bc,InvoiceNetAmount,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,506d0b29-0568-e911-8237-06dd5e24f7bc,Invoice,3f9d3a83-78ad-e911-828c-062300208360,InvoiceAdress,The address used to send the invoice to.,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,01f8e845-01af-ea11-829f-06c5ce6fa94e,FinancialMarketResearchDirectory,,,"A registry to record information about the financial market research
",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,df4d857a-097b-e911-823e-06651a4b679a,Product or Service Price Type,,,A price component that can be packaged in the terms and conditions of Banking Products or Services.,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,f6d26e14-01db-ea11-82b1-06978b4b0198,DeviceAccessArrangement,,,,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,eec68599-5c76-e911-823e-065f1d1f71b2,CustomerRelationshipCustomerInvolvement,,,Customer who is involved in the customer relationship.,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,8d470606-769e-e911-827a-06e8627b9e66,ArrangementLimit,,,"Modalities of an arrangement describing the limits that are imposed 

e.g. minimum deposit amount, maximal withdrawal amount, maximum position...",Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,8d470606-769e-e911-827a-06e8627b9e66,ArrangementLimit,6f4e9d74-769e-e911-827a-06e8627b9e66,LimitType,"Classification of the subject of the limit 

e.g. maximum deposit amount ",Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,8d470606-769e-e911-827a-06e8627b9e66,ArrangementLimit,22c25884-769e-e911-827a-06e8627b9e66,Limit,"The actual limit to be applied according to limit type

e.g. max amount of 500€ per semester",Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,8d470606-769e-e911-827a-06e8627b9e66,ArrangementLimit,51de4a67-75a4-e911-8284-0690c2b69574,LimitModalities,Specification for the calculation and enforcing of the limit.,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
