UID Class Diagram,UID Relation,UID BO From,BO From,UID BO To,BO To
799cbad6-2102-eb11-82be-0632752cdf09,4df6156a-08a7-e911-8288-068d1795c1bc,3225a15a-2356-e911-8237-060aad038e48,LoanAgreement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
799cbad6-2102-eb11-82be-0632752cdf09,9f720c84-2c5f-eb11-82e9-06394efee01d,ca976c42-7c96-e911-823e-062d75b50cca,SweepArrangement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
799cbad6-2102-eb11-82be-0632752cdf09,6e02bf4f-9d55-eb11-82e3-06afd984332d,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement
799cbad6-2102-eb11-82be-0632752cdf09,f5e1d9dc-0a68-e911-8237-06dd5e24f7bc,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement
799cbad6-2102-eb11-82be-0632752cdf09,dce11e32-26aa-e911-8288-0674300188c0,974543f6-3494-e911-823e-069871e4ec9c,FeeArrangement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
799cbad6-2102-eb11-82be-0632752cdf09,0d89a5ef-c356-e911-8237-06ecaacb4c68,01e5035a-be56-e911-8237-06ecaacb4c68,LoanAgreementInvolvement,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole
799cbad6-2102-eb11-82be-0632752cdf09,6658369a-2c5f-eb11-82e9-06394efee01d,a6ea66b8-8596-e911-823e-062d75b50cca,PaymentServiceArrangement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
799cbad6-2102-eb11-82be-0632752cdf09,fb3db0b1-2c5f-eb11-82e9-06394efee01d,280f7086-bf56-e911-8237-06ecaacb4c68,CollateralAssetArrangement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
799cbad6-2102-eb11-82be-0632752cdf09,569ed82d-275f-eb11-82e9-06394efee01d,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement,9fe05cf9-fd60-e911-8237-068e13695e26,Account
799cbad6-2102-eb11-82be-0632752cdf09,16f58ac9-bea1-ea11-829a-065300d6f09e,9348d23d-739e-e911-827a-067a41d69b6e,Loan,771cbe9b-bea1-ea11-829a-065300d6f09e,DebtInstrument
799cbad6-2102-eb11-82be-0632752cdf09,be0bce09-2f5f-eb11-82e9-06394efee01d,0c2f16e0-2e5f-eb11-82e9-06394efee01d,LoanInstruction,f39adfe7-2e5f-eb11-82e9-06394efee01d,LoanTransaction
799cbad6-2102-eb11-82be-0632752cdf09,d7df2ea5-fc6f-e911-8237-06309b11004c,e6304f28-fd60-e911-8237-068e13695e26,PaymentInstruction,7effad6e-9965-e911-8237-06eba4258fe0,Instruction
799cbad6-2102-eb11-82be-0632752cdf09,f73eee05-74a9-ea11-829f-06478228ed28,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement
799cbad6-2102-eb11-82be-0632752cdf09,e5727efe-a486-e911-823e-062687e6a904,1aeced65-0b68-e911-8237-06dd5e24f7bc,BankingProduct,823053bb-a486-e911-823e-062687e6a904,ProductFeature
799cbad6-2102-eb11-82be-0632752cdf09,d9647ecd-2c5f-eb11-82e9-06394efee01d,2cd1dc8a-85a4-e911-8284-062084c0b880,DeviceArrangement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
799cbad6-2102-eb11-82be-0632752cdf09,d8ba76ee-2c5f-eb11-82e9-06394efee01d,01d64189-5c96-e911-823e-062d75b50cca,DepositServiceArrangement,6dc9f3aa-ffa6-e911-8288-068d1795c1bc,LoanArrangement
