UID Relation,Relation Name,UID BO From,From,Relationship From properties,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,UID  BO To,To,Relationship To properties,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
70d88184-c87e-e911-823e-0680d160e494,,ccbe8f33-c67e-e911-823e-0680d160e494,LocationType,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,063a0dcf-0561-e911-8237-068e13695e26,Location,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
da80d96c-6880-e911-823e-061de61e9206,,063a0dcf-0561-e911-8237-068e13695e26,Location,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,612fa2fe-6780-e911-823e-061de61e9206,ObjectLocationRelationship,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
4e8701f2-6080-e911-823e-061de61e9206,,bcc0b912-717c-e911-823e-06546fdb7546,Object,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,6b37300c-c056-e911-8237-06ecaacb4c68,CollateralAsset,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
9eee556b-6180-e911-823e-061de61e9206,,30a4d16d-6080-e911-823e-061de61e9206,Asset,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,bcc0b912-717c-e911-823e-06546fdb7546,Object,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public
1a155f73-6880-e911-823e-061de61e9206,,bcc0b912-717c-e911-823e-06546fdb7546,Object,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,612fa2fe-6780-e911-823e-061de61e9206,ObjectLocationRelationship,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
26b6e398-6e80-e911-823e-061de61e9206,,9bc7af8d-d46f-e911-8237-06309b11004c,PartyRoleType,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=1,nm=,upper=1,visibility=public,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
81c469f2-6380-e911-823e-061de61e9206,,fd698611-6380-e911-823e-061de61e9206,AssetType,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,30a4d16d-6080-e911-823e-061de61e9206,Asset,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
5944b6e4-6b80-e911-823e-061de61e9206,,ba9abd47-c656-e911-8237-06ecaacb4c68,Document,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public,280f7086-bf56-e911-8237-06ecaacb4c68,CollateralAssetArrangement,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
ba281fa8-6e80-e911-823e-061de61e9206,,bcc0b912-717c-e911-823e-06546fdb7546,Object,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
d58c6a16-6d80-e911-823e-061de61e9206,,a09bbcdb-6c80-e911-823e-061de61e9206,DocumentType,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=1,visibility=public,ba9abd47-c656-e911-8237-06ecaacb4c68,Document,aggregation=none,isDerived=false,isNavigable=true,isOrdered=false,isUnique=true,lower=0,nm=,upper=*,visibility=public
