UID Generalization relation,UID Generalization,Generalization,UID Specialization,Specialization,
6f0a9967-8271-e911-823e-0681a0c1a2d0,52195823-8271-e911-823e-0681a0c1a2d0,ClearingInvolvement,2a489e5b-f06f-e911-8237-06309b11004c,ClearingHouse,
10ed2dad-816a-e911-8237-061b75d0d318,9c3b00ce-7a6a-e911-8237-061b75d0d318,CardPaymentInvolvement,469c9484-816a-e911-8237-061b75d0d318,Merchant,
dac08a74-5988-e911-823e-06b09c770f0c,f09a608f-d877-e911-823e-067f69a9229a,Directory,56bfc9b7-5888-e911-823e-06b09c770f0c,CustomerDirectory,
ac8f1a3c-c048-ea11-8289-064c9ffef37a,dd3cc0aa-0a68-e911-8237-06dd5e24f7bc,Arrangement,ac535bd6-3298-e911-827a-06b20c6b9b78,StandingOrderArrangement,
5194962c-93d8-e911-82a8-06740d90dcce,5314d145-3876-e911-823e-065f1d1f71b2,Report,67fa43c9-92d8-e911-82a8-06740d90dcce,FinancialReport,
11bfa0dd-358c-e911-823e-061d8abd0026,f60da226-fe76-e911-823e-0663ff6583c4,Measurement,3524ccca-358c-e911-823e-061d8abd0026,PartyState,
a47a250b-a05c-eb11-82e9-065ba105bad3,0cbfb7fb-5997-e911-823e-065ba593ba6e,Service,3e76b86d-9e5c-eb11-82e9-065ba105bad3,InterestService,
659ef284-d76f-e911-8237-06309b11004c,eca491e3-d66f-e911-8237-06309b11004c,PaymentInstructionInvolvement,89ef0b4e-9e65-e911-8237-06eba4258fe0,Payer,
bdfb2247-d96f-e911-8237-06309b11004c,40da9702-b96c-e911-8237-068832ceab6c,CorrespondentBankingInvolvement,025e7433-b96c-e911-8237-068832ceab6c,RespondentBank,
3de98d73-d76f-e911-8237-06309b11004c,cd6d1037-d56f-e911-8237-06309b11004c,CorrespondentBankingInvolvementType,905f892a-b96c-e911-8237-068832ceab6c,CorrespondentBank,
d1bcf2c5-8a96-e911-823e-066b14f5b0ba,70959fdb-be56-e911-8237-06ecaacb4c68,PartyRole,a798d911-8996-e911-823e-066b14f5b0ba,MoneyTransferInstructionInvolvement,
733985b0-6188-e911-823e-06b09c770f0c,b2f7829a-0a68-e911-8237-06dd5e24f7bc,Agreement,4a8504a5-6188-e911-823e-06b09c770f0c,ServicingMandate,
83b74151-e89c-e911-827a-06330851e5be,275f8937-e89c-e911-827a-06330851e5be,PaymentServiceProvider,905f892a-b96c-e911-8237-068832ceab6c,CorrespondentBank,
296ed9de-699e-e911-827a-06e8627b9e66,f629d849-639e-e911-827a-06e8627b9e66,SavingsAccountProductFeature,0250b837-e797-e911-827a-06d89370a58e,LienFeature,
16b66f13-b8a4-e911-8284-062084c0b880,a58c8a29-5a96-e911-823e-062d75b50cca,FinancialTransaction,2b542337-b6a4-e911-8284-062084c0b880,SweepArrangementFulfilmentEvent,
acc7bb1d-38d6-e911-8296-06c6ee6741dc,158c8116-38d6-e911-8296-06c6ee6741dc,CustomerFeedback,62f9093a-19a3-e911-8280-06760b39b086,DunningCustomerFeedback,
c2e75691-8c57-e911-8237-0645314e65ac,ea36f45c-1656-e911-8237-060aad038e48,Assessment,1874426d-8c57-e911-8237-0645314e65ac,DebitCheck,
